possession,game_id,possession_team,length,start_x,start_y,end_x,end_y,period_id,start_time_seconds,end_time_seconds
111,3942819,Netherlands,9,29.88125,0.04250000000000398,69.78125,17.72249999999999,2,2925.209,2936.968
112,3942819,England,4,69.78125,17.722499999999997,39.68124999999999,21.6325,2,2939.912,2944.295
113,3942819,Netherlands,11,39.68125,21.6325,44.93125,4.292499999999997,2,2945.565,2970.533
114,3942819,England,2,44.93124999999999,4.972500000000004,7.656250000000001,9.90249999999999,2,3001.232,3004.434
2,3943043,England,3,52.543749999999996,33.9575,0.04374999999998863,57.502500000000005,1,0.34,4.742
3,3943043,Spain,9,5.99375,34.38249999999999,56.91875,11.177499999999995,1,34.44,41.878
4,3943043,Spain,21,63.393750000000004,0.04250000000000398,85.96875,12.452499999999993,1,56.844,91.512
5,3943043,England,9,85.96875,12.4525,60.33125,1.9975000000000023,1,91.93,99.129
6,3943043,Spain,7,60.33125,1.9975000000000023,29.26875000000001,2.762500000000003,1,99.129,113.324
7,3943043,Spain,28,35.91875,0.04250000000000398,63.56875000000001,8.712500000000006,1,132.264,185.55
8,3943043,England,8,60.856249999999996,11.0075,38.018750000000004,34.8075,1,187.283,200.262
9,3943043,Spain,33,38.018750000000004,34.8075,104.95625000000001,67.9575,1,202.368,258.534
10,3943043,Spain,4,104.95625000000001,67.9575,85.09375,38.54749999999999,1,287.906,294.205
11,3943043,England,5,85.09375,38.5475,74.41875,52.0625,1,295.787,299.934
12,3943043,Spain,81,49.04375,63.707499999999996,91.56875,45.3475,1,303.269,432.554
13,3943043,England,5,91.56875,45.3475,100.58125,62.5175,1,433.0535,437.581
14,3943043,England,2,94.71875,67.9575,55.43125,55.377500000000005,1,464.915,467.08
15,3943043,Spain,11,55.431250000000006,55.3775,87.10625,46.3675,1,468.164,480.55
16,3943043,England,4,87.10625,46.3675,64.88125,67.87250000000002,1,482.208,484.399
17,3943043,Spain,11,59.28125,67.9575,64.70625000000001,42.7125,1,490.441,507.579
18,3943043,England,2,64.70625,42.712500000000006,54.11875,44.752500000000005,1,509.194,511.65
19,3943043,England,17,60.33125,67.9575,41.518750000000004,8.967500000000001,1,532.983,569.599
20,3943043,England,1,11.943749999999994,39.4825,11.943749999999994,39.4825,1,615.682,615.682
21,3943043,Spain,24,11.768749999999999,39.482499999999995,101.45625000000001,43.1375,1,630.241,673.568
22,3943043,Spain,3,104.95625000000001,67.9575,104.95625000000001,42.7125,1,738.53,741.652
23,3943043,England,1,99.79375,35.9975,9.318749999999994,31.237499999999997,1,782.201,782.201
24,3943043,Spain,18,12.55625,29.877499999999998,88.85625,34.6375,1,794.236,832.733
25,3943043,England,4,88.85625,34.6375,54.81875,3.612499999999997,1,833.889,840.77
26,3943043,England,11,52.98125,0.04250000000000398,0.04374999999998863,67.9575,1,870.749,883.997
27,3943043,England,50,0.04374999999998863,67.9575,17.981250000000003,39.4825,1,918.658,1014.951
28,3943043,Spain,5,14.13125,37.0175,39.59375,4.6325,1,1015.726,1021.816
29,3943043,Spain,25,33.38125000000001,0.04250000000000398,62.081250000000004,67.9575,1,1034.612,1085.627
